id,title,author,isbn,annual circs
281,Dance for the dead /,"Perry, Thomas.",9780679449119,1
282,A dangerous mourning /,"Perry, Anne",9780449905548,1
284,Dark justice /,"Bernhardt, William,",9780345407382,1
285,The dark side of Camelot /,"Hersh, Seymour M.",9780316359559,1
286,"The Dark Tower, and other stories /","Lewis, C. S.",9780151239023,1
287,The daughters of Cain /,"Dexter, Colin.",9780517700679,1
288,Dave Barry slept here /,"Barry, Dave.",9780394565415,1
289,Days of drums,"Shelby, Philip.",9780786206889,1
291,Dear Irene :,"Burke, Jan.",9780671782160,1
292,Death by jury /,"Lutz, John,",9780312136130,1
293,Death in a cold hard light /,"Mathews, Francine.",9780553104646,1
294,Death of a gossip /,"Beaton, M. C.",9780312186371,1
295,Death of an addict /,"Beaton, M. C.",9780892966752,1
296,The death of an Irish sea wolf :,"Gill, Bartholomew,",9780688141837,1
297,Deathbird stories /,"Ellison, Harlan",9780312940843,1
298,December /,"Bunting, Eve,",9780152014346,1
299,Deception on his mind /,"George, Elizabeth.",9780553102345,1
300,Decked :,"Clark, Carol Higgins.",9780446515498,1
301,The decline and fall of the British aristocracy /,"Cannadine, David,",9780300047615,1
302,Deja dead /,"Reichs, Kathy.",9780684841175,1
303,Deja dead /,"Reichs, Kathy.",9780684841175,1
304,Demian :,"Hesse, Hermann,",9780060916527,1
305,Deserts /,"Gibbons, Gail.",9780823412761,1
307,Diana :,"Morton, Andrew,",9780671793630,1
308,Dictionary of nature /,"Burnie, David.",9781564584731,1
309,The diggers /,"Brown, Margaret Wise,",9780786800063,1
310,Dinosaur time /,"Parish, Peggy",9780060246532,1
311,Dinosaurs! :,"Emberley, Michael.",9780316234177,1
312,The disposable man /,"Mayor, Archer H.",9780892966851,1
313,The disposable man /,"Mayor, Archer H.",9780892966851,1
314,Divine inspiration :,"Langton, Jane.",9780670847099,1
315,Do pigs have stripes? /,"Walsh, Melanie.",9780395739761,1
316,Do you see a mouse? /,"Waber, Bernard",9780395722923,1
317,Doctors /,"Ready, Dee.",9781560655091,1
318,Dog Heaven /,"Rylant, Cynthia.",9780590417013,1
319,A dog's life /,"Mayle, Peter.",9780679441229,1
320,Dogs never lie about love :,"Masson, J. Moussaieff",9780609600573,1
321,Dolly :,"Parton, Dolly.",9780060177201,1
322,Domesday :,"Wood, Michael,",9780816018321,1
323,Don't ask /,"Westlake, Donald E.",9780892964697,1
324,Don't get taken every time :,"Sutton, Remar.",9780140266702,1
325,Dorothy L. Sayers :,"Coomes, David.",9780745919225,1
326,Dr. Kritsick's Tender loving cat care :,"Kritsick, Stephen.",9780671467258,1
327,The dragon :,"Cowley, Joy",9780868670959,1
328,The dragons are singing tonight /,"Prelutsky, Jack.",9780688096458,1
329,Draw me a star /,"Carle, Eric.",9780399218774,1
330,Drawing on the right side of the brain :,"Edwards, Betty.",9780874775136,1
331,Dream a little dream /,"Phillips, Susan Elizabeth.",9780783801834,1
332,The dream stalker /,"Coel, Margaret,",9780425159675,1
333,Dreams of my Russian summers /,"Makine, Andrei,",9781559703833,1
334,A drop of water :,"Wick, Walter.",9780590221979,1
335,"Druids, gods and heroes from Celtic mythology /","Ross, Anne,",9780872269187,1
336,Drummer boy :,"Turner, Ann Warren.",9780060276966,1
337,Dubliners /,"Joyce, James,",9780679600497,1
338,Duffy and the devil /,"Zemach, Harve.",9780374318871,1
339,"Duke, the Dairy Delight dog /","Ernst, Lisa Campbell.",9780689807503,1
340,Dynasty :,"Elegant, Robert S.",9780070191723,1
341,"""E"" is for evidence :","Grafton, Sue.",9780553279559,1
342,Each peach pear plum :,"Ahlberg, Janet.",9780670287055,1
343,Each peach pear plum :,"Ahlberg, Janet.",9780670287055,1
344,Early man and the ocean :,"Heyerdahl, Thor.",9780385127103,1
345,The earth and I /,"Asch, Frank.",9780152004439,1
346,"East, west :","Rushdie, Salman.",9780679439653,1
347,Easter crafts /,"Corwin, Judith Hoffman.",9780531111451,1
348,Easter crafts /,"Corwin, Judith Hoffman.",9780531111451,1
349,Easter parade /,"Chalmers, Mary,",9780060212322,1
350,Easy math puzzles /,"Adler, David A.",9780823412839,1
351,Easy-to-make cloth dolls and all the trimmings /,"Davis, Jodie,",9780913589533,1
352,Eat your dinner! /,"Miller, Virginia.",9781564021212,1
353,The echo /,"Walters, Minette.",9780399142512,1
354,Ed Emberley's Big orange drawing book.,"Emberley, Ed.",9780316234184,1
355,Edward in deep water /,"Wells, Rosemary.",9780803718838,1
356,Edward in deep water /,"Wells, Rosemary.",9780803718838,1
357,Eggs mark the spot /,"Auch, Mary Jane.",9780823412426,1
358,Eight black horses :,"McBain, Ed,",9780816140220,1
360,Electricity :,,9780831746261,1
361,The eleventh commandment /,"Archer, Jeffrey,",9780060191504,1
362,Ellis Island :,"Kroll, Steven.",9780823411924,1
363,Better homes and gardens embroidery.,,9780696004254,1
364,Emily /,"Bedard, Michael,",9780385306973,1
365,Emma Bean /,"Van Leeuwen, Jean.",9780803713925,1
366,Emperor Mage /,"Pierce, Tamora.",9780679882909,1
367,Encyclopedia of acting techniques :,"Perry, John.",9781558704565,1
368,The encyclopedia of the dog /,"Fogle, Bruce.",9780789401496,1
369,The end of eternity /,"Asimov, Isaac,",9780893403386,1
370,Endangered species /,"Barr, Nevada.",9780399142468,1
371,The English patient :,"Ondaatje, Michael,",9780679745204,1
372,Enigma /,"Harris, Robert,",9780679428879,1
373,Enigma /,"Harris, Robert,",9780679428879,1
374,The enormous carrot /,"Vagin, Vladimir Vasilevich,",9780590454919,1
375,Evening class /,"Binchy, Maeve.",9780783881126,1
376,Evensong /,"Godwin, Gail.",9780345372444,1
378,Everything you never learned about birds /,"Rupp, Rebecca.",9780882663456,1
380,Explore the wild :,"Duncan, Beverly,",9780060235963,1
381,"Exploring the deep, dark sea /","Gibbons, Gail.",9780316309455,1
382,Eyes at my feet /,"Hickford, Jessie.",9780816162161,1
383,Faith /,"Deighton, Len,",9780060176228,1
385,Farriers' Lane /,"Perry, Anne.",9780449905692,1
386,The farthest shore /,"Le Guin, Ursula K.,",9780553238280,1
387,Father bear goes fishing /,"Randell, Beverley.",9780435067540,1
388,Favorite Greek myths /,"Osborne, Mary Pope.",9780590413381,1
391,Fire fighters /,"Ready, Dee.",9781560655107,1
392,Fire fighters /,"Ready, Dee.",9781560655107,1
393,Fire fighters /,"Bourgeois, Paulette.",9781550744385,1
394,Fire! /,"Masoff, Joy,",9780590978729,1
395,Fire! Fire! /,"Gibbons, Gail.",9780690044171,1
396,Fire! Fire! said Mrs. McGuire /,"Martin, Bill,",9780152275624,1
397,Firebird /,"Isadora, Rachel.",9780399225109,1
398,The fires of heaven /,"Jordan, Robert,",9780312854270,1
399,The fires of Merlin /,"Barron, T. A.",9780399230202,1
400,Firestarter /,"King, Stephen,",9780670315413,1
402,The first Americans /,"Hakim, Joy.",9780195077452,1
403,First facts about the Middle Ages /,"Macdonald, Fiona.",9780872265332,1
404,Five little ducks :,"Paparone, Pamela.",9781558584730,1
405,Five little monkeys sitting in a tree /,"Christelow, Eileen.",9780395544341,1
406,The five stages of the soul :,"Moody, Harry R.",9780385482257,1
407,Flag /,"Crampton, W. G.",9780394822556,1
408,The flag we love /,"Ryan, Pam Muñoz.",9780881068450,1
409,Flash /,"Krentz, Jayne Ann.",9780671523084,1
410,Flash /,"Krentz, Jayne Ann.",9780671523084,1
411,Floating home /,"Getz, David.",9780805044973,1
412,The flower faerie /,"Asch, Frank.",9780590454933,1
413,Fly traps! :,"Jenkins, Martin.",9781564028969,1
414,Flying machine /,"Nahum, Andrew.",9780679807445,1
415,Focus on drugs and the brain /,"Friedman, David P.",9780941477956,1
416,For love /,"Miller, Sue,",9780060179793,1
417,For my daughters /,"Delinsky, Barbara.",9780816174034,1
418,Forever peace /,"Haldeman, Joe W.",9780441004065,1
420,Fortune's favorites /,"McCullough, Colleen,",9780688093709,1
421,Foundation and empire /,"Asimov, Isaac,",9780345336286,1
422,Four ice creams /,"Giles, Jenny.",9781418903749,1
423,Four to score /,"Evanovich, Janet.",9780312185862,1
424,The fourth wise man /,"Summers, Susan.",9780803723122,1
425,The fox who foxed /,"Randell, Beverley,",9780435067656,1
426,The fox who foxed /,"Randell, Beverley,",9780435067656,1
427,Fraction action /,"Leedy, Loreen.",9780823411092,1
428,Franklin and the tooth fairy /,"Bourgeois, Paulette.",9781550742701,1
429,Frederick Douglass :,"Miller, William,",9781880000175,1
430,Frederick's fables :,"Lionni, Leo,",9780394877105,1
431,Free fall in crimson /,"MacDonald, John D",9780060148331,1
432,Freight train /,"Crews, Donald.",9780688801656,1
433,The Friendly beasts :,,9780399207396,1
434,Friendship's first Thanksgiving /,"Accorsi, William.",9780823409631,1
435,Frindle /,"Clements, Andrew,",9780689806698,1
437,From time to time :,"Finney, Jack.",9780671898847,1
439,Fundamental acting :,"Kuritz, Paul.",9781557833044,1
440,Galileo Galilei :,"MacLachlan, James H.,",9780195093421,1
441,The garden tour affair /,"Ripley, Ann.",9780553106930,1
442,Gathering the sun :,"Ada, Alma Flor.",9780688170677,1
443,The general's daughter /,"DeMille, Nelson.",9780446513067,1
444,Gentle Annie :,"Shura, Mary Francis,",9780590443678,1
445,Genuine lies /,"Roberts, Nora.",9780553108347,1
446,George Washington :,"Giblin, James.",9780590425506,1
447,Germany /,"Dahl, Michael S.",9781560655237,1
448,Getting it done :,"Fisher, Roger,",9780887308420,1
449,The ghost in the classroom /,"Wagener, Gerda.",9781558587991,1
450,The ghost of Nicholas Greebe /,"Johnston, Tony,",9780803716483,1
451,The ghost /,"Cowley, Joy",9780780274082,1
452,The ghost /,"Cowley, Joy",9780780274082,1
453,The gift of the Magi :,"Henry, O.,",9780895772664,1
