title,author,isbn,count
"Hour of the bees /","Eagar, Lindsay,","9781511371964 : CMD | 151137196X : CMD",1
"The spider's web /","Coel, Margaret,","9780425236604 : | 0425236609 :",1
"Palace walk /","Maḥfūẓ, Najīb,",0385264658,1
"The legacy of conquest :","Limerick, Patricia Nelson,","9780393304978 (pbk.) : | 03933",1
"The passage of power /","Caro, Robert A.","9780679405078 : | 0679405070 :",1
"The solitude of prime numbers /","Giordano, Paolo,","9780143118596 : PAP | 0143118595 : PAP",1
"Misery /","King, Stephen,","9780451169525 (pbk.) : | 0451169522 (pbk.) :",1
"Untamed :","Silvey, Anita","9781426315190 : LIB | 1426315198 : LIB",1
"How to be a cat /","McClure, Nikki.","9781419705281 (hbk.) | 1419705",1
"Musicophilia :","Sacks, Oliver W.","9781400040810 : | 1400040817 :",1
"Dept. of speculation /","Offill, Jenny,","9780345806871 (paperback) | 0345806875 (paperback)",1
"The broker /","Grisham, John.",0385510454,1
"Father Brown.",,,1
"Father Brown.",,1569388970:,1
Wahlburgers.,"Wahlberg, Mark","9786315499708 : DVD | 63154997",1
Wahlburgers.,"Wahlberg, Mark","9786315499708 : DVD | 63154997",1
Anchorman,,1417034149,1
"Your inner fish /","Shubin, Neil","9786315369148 : DVD | 63153691",1
"Le divorce /","Johnson, Diane,",0452277337,1
"Death notes /","Rendell, Ruth,","0394520785 :",1
"The tower, the zoo, and the tortoise /","Stuart, Julia","9780385533287 : | 0385533284 :",1
"The best American short stories 2014 /",,"9780547868868 (paperback) | 0547868863 (paperback)",1
"The Castle","Kafka, Franz,","9781433246456 : | 1433246457 :",1
"Willow Wind farm :","Pellowski, Anne.",0399207813,1
"Winter's heart /","Jordan, Robert,","9780312864255 (hbk.) | 0312864256 (hbk.)",1
"Curious George goes to the hospital,","Rey, Margret","0395181585 (lib. bdg.) :",1
"Henry and the Valentine surprise /","Carlson, Nancy L.","9780670062676 (lib. bdg.) : | 0670062677 (lib. bdg.) :",1
"Houndsley and Catina and the birthday surprise /","Howe, James,","9780763624057 | 0763624055 (li",1
"Little Oink /","Rosenthal, Amy Krouse.","9780811866552 (lib. bdg.) : | ",1
"May Belle and the ogre /","Roberts, Bethany.","0525468552 (lib. bdg.) :",1
"The man who fell from the sky /","Coel, Margaret,","9780425280300 : HRD | 0425280306 : HRD",1
"The road unseen /","Jenkins, Peter,",0840759614,1
"Every woman has a story :",,"0783887531 (lg. print : alk. paper)",1
"Wait! No paint! /","Whatley, Bruce.","0060282703 | 0060282711 (lib. bdg.)",1
"George's store at the shore /","Bassède, Francine.","0531300838 (trade : alk. paper)",1
"Out of the ocean /","Frasier, Debra.",0152588493,1
"The law of similars :","Bohjalian, Christopher A.","0517705869 (alk. paper)",1
"The wheel of darkness /","Preston, Douglas.","9780446580281 : | 0446580287 :",1
Watchtower,,,1
"Trouble with trolls /","Brett, Jan,","0399223363 :",1
"A.D. :","Neufeld, Josh.","9780375714887 (pbk.) : | 03757",1
"The pursuit /","Evanovich, Janet,","9780553551563 | 0553551566 | 9780553551549 | 055355154X",1
"A painter /","Florian, Douglas.","0688118720 (trade) : | 0688118739 (lib.)",1
"The Great War :",,"9780763675547 | 0763675547",1
"Treachery at Lancaster Gate :","Perry, Anne","1101886323 | 9781101886328",1
"The Beast of Blackslope /","Barrett, Tracy,","9780805083415 (lib. bdg.) : | ",1
"My parents think I'm sleeping /","Prelutsky, Jack.","9780060537203 | 0060537205 | 9",1
"The after party :","DiSclafani, Anton,","9780147524607 | 0147524601",1
"Dad is fat /","Gaffigan, Jim.","9780385349055 : | 038534905X :",1
"The mage in black /","Wells, Jaye.","9780316037808 (pbk.) :",1
"Red-headed stepchild /","Wells, Jaye.","9780316037761 (pbk.) : | 03160",1
"Green-eyed demon /","Wells, Jaye.","9780316037778 (pbk.) :",1
"Silver-tongued devil /","Wells, Jaye.","9780316178433 | 0316178438",1
"Henry builds a cabin /","Johnson, D. B.",0618132015,1
"The courtesan :","Curry, Alexandra Gambrill,","9781622319602 : CMD | 1622319605 : CMD",1
"From panic to power :","Bassett, Lucinda.","0060173203 | 9780060173203 | 0060927585 | 9780060927585",1
"After her /","Maynard, Joyce,","9780062257390 : | 0062257390 :",1
"Descendants of William Ford of Smithfield, Rhode Island and Grafton, New Hampshire /","Larson, William Ford,","9781467533034 (softcover) | 1467533033 (softcover)",1
"A reliable wife :","Goolrick, Robert,","9781565125964 : | 1565125967 :",1
"Heading out to wonderful :","Goolrick, Robert,","9781565129238 : | 1565129237 :",1
"Gooney Bird Greene /","Lowry, Lois.","0618238484 :",1
Superman,"Bomer, Matthew,","9781624045165 : DVD | 1624045162 : DVD",1
"Childcraft :",,"0716601974 (set)",1
"Good dog, Aggie! /","Ries, Lori.","9781570916458 (lib. bdg.) : | ",1
"More pies! /","Munsch, Robert N.,","0439187737 :",1
"Jack and the beanstalk /",,,1
"The pottery place /","Gibbons, Gail.",0152632654,1
"Clever Jack takes the cake /","Fleming, Candace.","9780375849794 : | 0375849793 :",1
"Dinosaur time /","Parish, Peggy","0060246537 | 9780060246532 | 0060246545 (lib. bdg.) | 9780060246549 (lib. bdg.)",1
"I feel bad about my neck","Ephron, Nora.","9780739342923 : | 0739342924 :",1
"The crafty superstar ultimate craft business guide /","Dobush, Grace.","9781440320378 : | 1440320373",1
"Under the Tuscan sun :","Mayes, Frances.","0811808424 | 9780811808422",1
"All night long /","Krentz, Jayne Ann.","0399153055 (acidfree paper)",1
"Knuckleheads /","Holub, Joan.","9780811855235 : | 0811855236 :",1
"How to fight a dragon's fury /","Cowell, Cressida.","9780316365154 | 0316365157",1
"Tacky and the Winter Games /","Lester, Helen.","0618556591 :",1
"George Washington, spymaster :","Allen, Thomas B.","0792251261 :",1
"The dark game :","Janeczko, Paul B.","9780763629151 (lib. bdg.) : | ",1
"What is the world made of? :","Zoehfeld, Kathleen Weidner.","0060271434 | 0060271442 (lib. bdg.) | 0064451631 (pbk.)",1
"The Internet of us :","Lynch, Michael P.","9780871406613 : HRD | 0871406616 : HRD",1
"Help, thanks, wow :","Lamott, Anne","9781410453563 | 1410453561",1
"Living with purpose in a worn-out body :","Buchanan, Missy","9780835899420 | 083589942X",1
"Gentle Annie :","Shura, Mary Francis,","0590443674 :",1
"27 magic words /","Moranville, Sharelle Byars,","9780823436576 : HRD | 0823436578 : HRD",1
"Fish in a tree /","Hunt, Lynda Mullaly","9780399162596 : HRD | 0399162593 : HRD",1
"The best of me","Sparks, Nicholas.","9781611139044 : | 161113904X :",1
"Molly Pitcher, girl patriot /","Stevenson, Augusta.",,1
"Every single second /","Springstubb, Tricia,","9780062366283 : HRD | 0062366289 : HRD",1
"The great good summer /","Scanlon, Elizabeth Garton","9781481411479 : HRD | 1481411470 : HRD",1
"The adventures of Robin Hood /","Green, Roger Lancelyn,","9780141334899 | 0141334894 | 9780141329383 | 0141329386",1
"Ticonderoga, the story of a fort.","Lancaster, Bruce,",,1
"You--the owner's manual :","Roizen, Michael F.","0060765313 :",1
"Truck :","Perry, Michael,","0060571179 :",1
"Out to Canaan /","Karon, Jan,",067087485X,1
