id,title,author,isbn,annual circs
209,The juggling book /,"Hackett, Phil.",9781558213265,27
210,Judas child /,"O'Connell, Carol,",9780399143809,64
211,Love stories for the rest of us /,,9780916366902,25
212,Sara Kate saves the world /,"Pfeffer, Susan Beth,",9780805031485,95
214,Gems :,"Graf, Bernhard.",9783791325811,21
216,The confession /,"Steinhauer, Olen.",9780312303280,19
217,Aloft /,"Lee, Chang-rae.",9781573222631,29
218,Bertie & the crime of passion /,"Lovesey, Peter.",9780892965502,46
219,Two greedy bears /,"Ginsburg, Mirra.",9780027364507,134
221,Murder walks the plank :,"Hart, Carolyn G.",9780060004743,39
222,The good German :,"Kanon, Joseph.",9780805064223,11
223,The hero within :,"Pearson, Carol,",9780062515551,19
224,"Dear Scott, dearest Zelda :","Fitzgerald, F. Scott",9780312268756,23
225,I'll catch the moon /,"Crews, Nina.",9780688141349,107
226,The Vibe history of hip hop /,,9780609805039,5
227,A philosophical investigation /,"Kerr, Philip.",9780374105068,11
228,Once more around the park:,"Angell, Roger.",9780345367372,13
229,A life in a year :,"Ebert, James R.,",9780891415008,33
230,A world away /,"O'Nan, Stewart,",9780805057744,37
231,Mallets aforethought /,"Graves, Sarah.",9780553803082,46
233,All I could get :,"Lasser, Scott.",9780375413254,25
234,Bugs! Bugs! Bugs! /,"Barner, Bob.",9780811822381,32
235,Season's revenge :,"Kisor, Henry.",9780765306661,27
236,How I spent my summer vacation /,"Teague, Mark.",9780517599983,129
237,"Natural health, natural medicine :","Weil, Andrew.",9780395493403,52
238,City;,"Macaulay, David.",9780395194928,38
239,Fortunes of war /,"Coonts, Stephen,",9780312185831,49
240,Who owns history? :,"Foner, Eric,",9780809097043,17
241,A new kind of science /,"Wolfram, Stephen.",9781579550080,27
242,The Irish village murder /,"Deere, Dicey.",9780312275228,51
243,Living well is the best revenge.,"Tomkins, Calvin,",9780670435913,9
244,Natalie :,"Wood, Lana,",9780399129032,25
245,Bodega dreams /,"Qui~nonez, Ernesto.",9780375705892,17
246,The backyard bird feeder's bible :,"Roth, Sally.",9780875968346,28
247,Long time no see ,"Isaacs, Susan,",9780066214047,71
249,Peter's place /,"Grindley, Sally.",9780152009168,70
250,The power of 5 :,"Bloomfield, Harold H.,",9780875962016,51
